user_ID,item_ID,rating
1000235057,P432049,1.0
1000235057,P377561,5.0
1000235057,P379707,3.0
1000235057,P428250,4.0
1000235057,P375849,5.0
1000235057,P426183,5.0
1000235057,P454799,1.0
1000235057,P394397,1.0
1000235057,P428819,1.0
1000235057,P420652,5.0
1000235057,P453816,1.0
1000235057,P450917,5.0
1000235057,P456412,5.0
1000235057,P418346,5.0
1000235057,P427414,4.0
1000235057,P409631,2.0
1000235057,P421275,5.0
1000235057,P297524,5.0
1000235057,P432241,5.0
1000235057,P126301,1.0
1000235057,P433443,3.0
1000235057,P427418,1.0
1000235057,P421277,5.0
1000235057,P440498,5.0
1000235057,P500757,1.0
1001087549,P479841,5.0
1001087549,P481989,5.0
1001087549,P433520,5.0
1001087549,P481366,5.0
1001087549,P480461,4.0
1001087549,P471043,4.0
1001087549,P456218,5.0
1001087549,P500857,5.0
1001087549,P501254,5.0
1001087549,P500777,5.0
1001087549,P418346,5.0
1001087549,P443350,5.0
1001087549,P500472,5.0
1001087549,P480613,5.0
1001087549,P424948,5.0
1001087549,P440650,5.0
1001087549,P309308,5.0
1001087549,P479348,5.0
1001087549,P232915,5.0
1001087549,P479327,5.0
1001087549,P443352,5.0
1001087549,P482074,5.0
1001087549,P471025,5.0
1001087549,P423688,5.0
1001087549,P504045,5.0
1001087549,P481697,5.0
1001087549,P270594,5.0
1001087549,P482024,5.0
1001087549,P481739,5.0
10021203314,P482693,5.0
10021203314,P481169,5.0
10021203314,P505031,5.0
10021203314,P482540,5.0
10021203314,P475543,5.0
10021203314,P471101,4.0
10021203314,P500472,5.0
10021203314,P501760,5.0
10021203314,P421235,5.0
10021203314,P501254,5.0
10021203314,P471237,5.0
10021203314,P467762,5.0
10021203314,P462699,5.0
10021203314,P479645,5.0
10021203314,P405584,5.0
10021203314,P470529,5.0
10021203314,P447210,4.0
10021203314,P462666,5.0
10021203314,P481831,5.0
10021203314,P476414,5.0
10021203314,P482535,5.0
10021203314,P471043,5.0
10021203314,P483679,5.0
10021203314,P480192,5.0
10021203314,P309308,5.0
10021203314,P443370,4.0
10021203314,P503634,5.0
10021203314,P434548,5.0
10021203314,P479327,5.0
10021203314,P466154,4.0
10021203314,P270594,5.0
10021203314,P500288,5.0
10021203314,P479318,5.0
10021203314,P458219,5.0
10021203314,P463353,4.0
10021203314,P503879,5.0
10021203314,P482676,5.0
10021203314,P505024,5.0
1004697789,P500993,5.0
1004697789,P504045,5.0
1004697789,P479860,5.0
1004697789,P423148,5.0
1004697789,P479645,5.0
1004697789,P471043,4.0
1004697789,P428819,5.0
1004697789,P467110,4.0
1004697789,P423136,5.0
1004697789,P500757,5.0
1004697789,P482535,5.0
1004697789,P471237,4.0
1004697789,P455236,4.0
1004697789,P503936,5.0
1004697789,P442838,5.0
1004697789,P476414,5.0
1004697789,P468684,5.0
1004697789,P270594,5.0
1004697789,P443700,5.0
1004697789,P456218,4.0
1004697789,P470529,5.0
1004697789,P458219,5.0
1004697789,P503814,5.0
1004697789,P471025,1.0
1004697789,P467762,5.0
1004697789,P500857,5.0
1004697789,P481732,5.0
1004697789,P442840,5.0
1004697789,P479348,5.0
1004697789,P501254,5.0
1004697789,P482540,5.0
1007157531,P429250,5.0
1007157531,P139000,5.0
1007157531,P461439,5.0
1007157531,P392235,5.0
1007157531,P481817,4.0
1007157531,P232915,4.0
1007157531,P268700,5.0
1007157531,P481084,5.0
1007157531,P218700,5.0
1007157531,P411540,4.0
1007157531,P472454,5.0
1007157531,P42204,5.0
1007157531,P278317,3.0
1007157531,P479839,5.0
1007157531,P248407,4.0
1007157531,P394639,2.0
1007157531,P309308,5.0
1007157531,P174502,4.0
10072835560,P418624,5.0
10072835560,P470529,5.0
10072835560,P467762,5.0
10072835560,P471101,4.0
10072835560,P482325,5.0
10072835560,P477157,5.0
10072835560,P479860,5.0
10072835560,P443370,5.0
10072835560,P443700,5.0
10072835560,P479841,5.0
10072835560,P500633,5.0
10072835560,P500777,5.0
10072835560,P500472,5.0
10072835560,P500993,5.0
10072835560,P476414,5.0
10072835560,P471046,5.0
10072835560,P443352,5.0
10072835560,P500288,5.0
10072835560,P442840,5.0
10072835560,P479327,5.0
10072835560,P423688,5.0
10072835560,P483679,5.0
10072835560,P481739,4.0
10072835560,P270594,5.0
10072835560,P501288,5.0
10072835560,P480192,5.0
10072835560,P458219,5.0
10072835560,P479348,4.0
10072835560,P423136,5.0
10123555555,P463036,5.0
10123555555,P448719,5.0
10123555555,P442839,5.0
10123555555,P472052,4.0
10123555555,P455236,5.0
10123555555,P503814,5.0
10123555555,P503726,5.0
10123555555,P443700,5.0
10123555555,P432049,5.0
10123555555,P471025,5.0
10123555555,P503936,5.0
10123555555,P500633,5.0
10123555555,P503668,5.0
10123555555,P456392,5.0
10123555555,P466123,5.0
10123555555,P476414,5.0
10123555555,P460701,4.0
10123555555,P453928,5.0
10123555555,P465741,5.0
10123555555,P421277,5.0
10123555555,P479327,5.0
10123555555,P500777,5.0
10123555555,P423136,5.0
10123555555,P454799,5.0
10123555555,P469482,4.0
10123555555,P309308,5.0
10123555555,P504045,5.0
10123555555,P477157,5.0
10123555555,P481830,5.0
10123555555,P418346,4.0
10123555555,P503879,5.0
10123555555,P470529,5.0
10123555555,P466661,5.0
10123555555,P442840,5.0
10123555555,P442761,4.0
10123555555,P479860,5.0
10123555555,P454102,5.0
10123555555,P479645,5.0
10123555555,P501254,5.0
10123555555,P442837,5.0
10127380049,P500777,5.0
10127380049,P309308,5.0
10127380049,P461949,5.0
10127380049,P480630,5.0
10127380049,P454799,5.0
10127380049,P423148,5.0
10127380049,P500633,5.0
10127380049,P505346,5.0
10127380049,P483679,5.0
10127380049,P400259,5.0
10127380049,P469538,5.0
10127380049,P466123,5.0
10127380049,P270594,5.0
